Rodada: 39, Jogador: 0, carta da vez: 04♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 60 cartas.
Rodada: 40, Jogador: 0, carta da vez: 06♣, maiores montes Jogador: jogador 0 - Total de cartas: 6 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 59 cartas.
Rodada: 41, Jogador: 0, carta da vez: 01♣, maiores montes Jogador: jogador 0 - Total de cartas: 7 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 58 cartas.
Rodada: 42, Jogador: 0, carta da vez: 03♦, maiores montes Jogador: jogador 0 - Total de cartas: 8 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 57 cartas.
Rodada: 43, Jogador: 0, carta da vez: 09♥, maiores montes Jogador: jogador 0 - Total de cartas: 9 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 56 cartas.
Rodada: 44, Jogador: 0, carta da vez: 06♠, maiores montes Jogador: jogador 0 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 55 cartas.
Rodada: 45, Jogador: 0, carta da vez: 07♦, maiores montes Jogador: jogador 0 - Total de cartas: 11 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 54 cartas.
Rodada: 46, Jogador: 0, carta da vez: 06♥, maiores montes Jogador: jogador 0 - Total de cartas: 12 - ,  baralho tem 53 cartas.
Rodada: 47, Jogador: 0, carta da vez: 05♥, maiores montes Jogador: jogador 0 - Total de cartas: 13 - ,  baralho tem 52 cartas.
Rodada: 48, Jogador: 0, carta da vez: 04♠, maiores montes Jogador: jogador 0 - Total de cartas: 14 - ,  baralho tem 51 cartas.
Rodada: 49, Jogador: 0, carta da vez: 08♥, maiores montes Jogador: jogador 0 - Total de cartas: 15 - ,  baralho tem 50 cartas.
Rodada: 50, Jogador: 0, carta da vez: 12♠, maiores montes Jogador: jogador 0 - Total de cartas: 16 - ,  baralho tem 49 cartas.
Rodada: 51, Jogador: 0, carta da vez: 04♦, maiores montes Jogador: jogador 0 - Total de cartas: 17 - ,  baralho tem 48 cartas.
Rodada: 52, Jogador: 0, carta da vez: 12♣, maiores montes Jogador: jogador 0 - Total de cartas: 18 - ,  baralho tem 47 cartas.
Rodada: 53, Jogador: 0, carta da vez: 09♣, maiores montes Jogador: jogador 0 - Total de cartas: 19 - ,  baralho tem 46 cartas.
Rodada: 54, Jogador: 0, carta da vez: 08♠, maiores montes Jogador: jogador 0 - Total de cartas: 20 - ,  baralho tem 45 cartas.
Rodada: 55, Jogador: 0, carta da vez: 07♦, maiores montes Jogador: jogador 0 - Total de cartas: 21 - ,  baralho tem 44 cartas.
Rodada: 56, Jogador: 0, carta da vez: 01♦, maiores montes Jogador: jogador 0 - Total de cartas: 22 - ,  baralho tem 43 cartas.
