Rodada: 1, Jogador: 0, carta da vez: 08♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 50 cartas.
Rodada: 30, Jogador: 3, carta da vez: 11♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 5 - Jogador: jogador 6 - Total de cartas: 5 - ,  baralho tem 21 cartas.
Rodada: 31, Jogador: 3, carta da vez: 09♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 6 - ,  baralho tem 20 cartas.
Rodada: 32, Jogador: 3, carta da vez: 13♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 7 - ,  baralho tem 19 cartas.
Rodada: 33, Jogador: 3, carta da vez: 13♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 8 - ,  baralho tem 18 cartas.
Rodada: 34, Jogador: 3, carta da vez: 06♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 9 - ,  baralho tem 17 cartas.
Rodada: 35, Jogador: 3, carta da vez: 05♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 10 - ,  baralho tem 16 cartas.
Rodada: 36, Jogador: 3, carta da vez: 04♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 11 - ,  baralho tem 15 cartas.
Rodada: 37, Jogador: 3, carta da vez: 04♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 14 cartas.
Rodada: 38, Jogador: 4, carta da vez: 02♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 13 cartas.
Rodada: 39, Jogador: 4, carta da vez: 09♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 12 cartas.
Rodada: 40, Jogador: 4, carta da vez: 13♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 11 cartas.
Rodada: 41, Jogador: 4, carta da vez: 02♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 10 cartas.
Rodada: 42, Jogador: 4, carta da vez: 11♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 9 cartas.
Rodada: 43, Jogador: 4, carta da vez: 02♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 8 cartas.
Rodada: 44, Jogador: 4, carta da vez: 09♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 7 cartas.
Rodada: 45, Jogador: 4, carta da vez: 08♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 6 cartas.
Rodada: 46, Jogador: 4, carta da vez: 07♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 5 cartas.
Rodada: 47, Jogador: 4, carta da vez: 06♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 4 cartas.
Rodada: 48, Jogador: 4, carta da vez: 07♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 3 cartas.
Rodada: 49, Jogador: 4, carta da vez: 07♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - ,  baralho tem 2 cartas.
Rodada: 50, Jogador: 4, carta da vez: 03♠, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - Jogador: jogador 4 - Total de cartas: 12 - ,  baralho tem 1 cartas.
Rodada: 51, Jogador: 4, carta da vez: 02♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - Jogador: jogador 1 - Total de cartas: 3 - Jogador: jogador 2 - Total de cartas: 5 - Jogador: jogador 3 - Total de cartas: 12 - Jogador: jogador 4 - Total de cartas: 13 - ,  baralho tem 0 cartas.
